junction_id,x,y,junction_box_corners,junction_box_type
VJ-TQ3,365255.93,140834.65,"365257.94, 140853.61, 365271.68, 140845.41, 365253.92, 140815.69, 365240.19, 140823.89",1
VJ-TQ4,365282.58,140879.25,"365284.59, 140898.21, 365298.32, 140890.01, 365280.57, 140860.29, 365266.83, 140868.49",1
VJ-TQ0,365179.97,140707.08,"365168.47, 140714.60, 365192.04, 140700.51, 365185.22, 140689.09, 365161.64, 140703.17",1
VJ-TR1,364958.36,140890.97,"364960.37, 140909.93, 364974.10, 140901.73, 364956.34, 140872.01, 364942.61, 140880.21",1
VJ-TR2,364985.2,140935.91,"364987.21, 140954.87, 365000.94, 140946.66, 364983.19, 140916.94, 364969.45, 140925.15",1
VJ-TR3,365011.83,140980.48,"365013.84, 140999.44, 365027.57, 140991.24, 365009.82, 140961.52, 364996.08, 140969.72",1
VJ-TR4,365038.47,141025.08,"365040.48, 141044.04, 365054.21, 141035.83, 365036.46, 141006.12, 365022.73, 141014.32",1
VJ-TQ5,365305.85,140918.11,"365299.59, 140938.19, 365326.50, 140922.11, 365318.90, 140909.40, 365292.00, 140925.48",1
VJ-TR0,364936.84,140852.35,"364925.33, 140859.85, 364948.90, 140845.76, 364942.08, 140834.34, 364918.50, 140848.42",1
VJ-TR5,365061.62,141063.67,"365055.51, 141084.00, 365082.42, 141067.93, 365074.82, 141055.22, 365047.91, 141071.29",1
TLJ-PPA7-PPA8,365573.25,140785.43,"365566.71, 140799.83, 365589.02, 140786.49, 365579.79, 140771.04, 365557.48, 140784.38",3
VJ-TN2,365146.8,140702.52,"365153.75, 140688.94, 365161.96, 140702.67, 365139.72, 140715.95, 365131.54, 140702.20",2
VJ-TN3,365195.78,140673.18,"365203.05, 140659.63, 365211.14, 140673.17, 365188.21, 140686.85, 365180.15, 140673.30",1
VJ-TN4,365237.84,140648.05,"365247.81, 140632.89, 365255.90, 140646.43, 365227.80, 140663.21, 365219.74, 140649.65",1
VJ-TN5,365282.84,140621.17,"365292.59, 140606.13, 365300.69, 140619.67, 365273.10, 140636.14, 365265.04, 140622.59",1
VJ-TN6,365325.97,140595.4,"365335.69, 140580.39, 365343.78, 140593.93, 365316.31, 140610.33, 365308.24, 140596.78",1
VJ-TN7,365352.98,140579.27,"365357.40, 140567.42, 365365.50, 140580.95, 365348.46, 140591.12, 365340.40, 140577.57",1
VJ-TN8,365379.63,140563.35,"365384.90, 140550.99, 365392.99, 140564.53, 365374.30, 140575.69, 365366.23, 140562.14",1
VJ-PPA7-BL0,365515.13,140821.77,"365518.99, 140828.23, 365506.19, 140835.87, 365502.33, 140829.41, 365510.49, 140828.98",1
VJ-PPA7-PL0,365232.14,140988.98,"365212.71, 140989.89, 365222.12, 141005.64, 365252.12, 140987.64, 365242.18, 140972.34",1
