,Parking,Positions,,,,,,,20F,or,40F,Front,Pose,,,,,,,20F,Rear,Pose,,,,,
SlotLabel,UnityX,UnityZ,Latitude,Longitude,WGS84_Easting,WGS84_Northing,,UnityX_20F,UnityZ_20F,Latitude_20F,Longitude_20F,WGS84_Easting_20F,WGS84_Northing_20F,,UnityX_20R,UnityZ_20R,Latitude_20R,Longitude_20R,WGS84_Easting_20R,WGS84_Northing_20R,,UnityX_45F,UnityZ_45F,Latitude_45F,Longitude_45F,WGS84_Easting_45F,WGS84_Northing_45F
TB6_11_20,68.29002,-153.407,1.269682664,103.7902195,365404.4898,140369.8039,,68.29002,-156.247,1.269660609,103.7902064,365403.0336,140367.3662,,68.29002,-162.843,1.269609384,103.790176,365399.6514,140361.7047,,68.29002,-157.771,1.269648773,103.7901994,365402.2521,140366.0581
TB6_11_21,68.29002,-159.937,1.269631952,103.7901894,365401.1415,140364.199,,68.29002,-162.777,1.269609897,103.7901763,365399.6853,140361.7614,,68.29002,-169.373,1.269558673,103.790146,365396.3031,140356.0998,,68.29002,-164.301,1.269598062,103.7901693,365398.9038,140360.4533
TB6_11_22,68.29002,-166.496,1.269581015,103.7901592,365397.7783,140358.5692,,68.29002,-169.336,1.26955896,103.7901461,365396.3221,140356.1316,,68.29002,-175.932,1.269507736,103.7901158,365392.9399,140350.4701,,68.29002,-170.86,1.269547125,103.7901391,365395.5406,140354.8235
TB6_11_23,68.29002,-173.018,1.269530366,103.7901292,365394.4341,140352.9712,,68.29002,-175.858,1.26950831,103.7901161,365392.9779,140350.5336,,68.29002,-182.454,1.269457086,103.7900857,365389.5957,140344.872,,68.29002,-177.382,1.269496475,103.7901091,365392.1964,140349.2255
TB6_11_24,68.29002,-179.577,1.269479429,103.790099,365391.0709,140347.3414,,68.29002,-182.417,1.269457374,103.7900859,365389.6147,140344.9038,,68.29002,-189.013,1.269406149,103.7900555,365386.2325,140339.2423,,68.29002,-183.941,1.269445538,103.7900789,365388.8333,140343.5957
TB6_11_25,68.29002,-186.107,1.269428717,103.7900689,365387.7226,140341.7366,,68.29002,-188.947,1.269406662,103.7900558,365386.2664,140339.2989,,68.29002,-195.543,1.269355438,103.7900255,365382.8842,140333.6374,,68.29002,-190.471,1.269394827,103.7900488,365385.4849,140337.9908
TB6_11_26,68.29002,-195.76,1.269353752,103.7900245,365382.773,140333.4511,,68.29002,-198.6,1.269331697,103.7900114,365381.3167,140331.0135,,68.29002,-205.196,1.269280473,103.789981,365377.9346,140325.3519,,68.29002,-200.124,1.269319862,103.7900044,365380.5353,140329.7054
TB6_11_27,68.29002,-201.82,1.269306691,103.7899966,365379.6657,140328.2497,,68.29002,-204.66,1.269284636,103.7899835,365378.2094,140325.812,,68.29002,-211.256,1.269233411,103.7899531,365374.8273,140320.1505,,68.29002,-206.184,1.2692728,103.7899765,365377.428,140324.5039
TB6_11_28,68.29002,-211.91,1.269228332,103.7899501,365374.4919,140319.5891,,68.29002,-214.75,1.269206277,103.789937,365373.0357,140317.1515,,68.29002,-221.346,1.269155053,103.7899067,365369.6535,140311.4899,,68.29002,-216.274,1.269194442,103.78993,365372.2542,140315.8434
TB6_11_29,68.29002,-217.97,1.269181271,103.7899222,365371.3846,140314.3877,,68.29002,-220.81,1.269159215,103.7899091,365369.9284,140311.95,,68.29002,-227.406,1.269107991,103.7898788,365366.5462,140306.2885,,68.29002,-222.334,1.26914738,103.7899021,365369.1469,140310.6419
TB6_11_30,68.29002,-227.99,1.269103456,103.7898761,365366.2468,140305.7872,,68.29002,-230.83,1.269081401,103.789863,365364.7905,140303.3496,,68.29002,-237.426,1.269030176,103.7898326,365361.4084,140297.688,,68.29002,-232.354,1.269069565,103.789856,365364.0091,140302.0415
TB6_11_31,68.29002,-234.05,1.269056394,103.7898482,365363.1395,140300.5857,,68.29002,-236.89,1.269034339,103.7898351,365361.6832,140298.1481,,68.29002,-243.486,1.268983115,103.7898047,365358.3011,140292.4866,,68.29002,-238.414,1.269022504,103.7898281,365360.9018,140296.84
TB6_11_32,68.29002,-244.19,1.268977647,103.7898015,365357.9401,140291.8823,,68.29002,-247.03,1.268955592,103.7897884,365356.4839,140289.4446,,68.29002,-253.626,1.268904368,103.789758,365353.1017,140283.7831,,68.29002,-248.554,1.268943757,103.7897814,365355.7024,140288.1365
TB6_11_33,68.29002,-250.25,1.268930586,103.7897736,365354.8328,140286.6808,,68.29002,-253.09,1.26890853,103.7897605,365353.3765,140284.2432,,68.29002,-259.686,1.268857306,103.7897301,365349.9944,140278.5816,,68.29002,-254.614,1.268896695,103.7897535,365352.5951,140282.9351
TB6_11_34,68.29002,-257.25,1.268876224,103.7897413,365351.2435,140280.6725,,68.29002,-260.09,1.268854169,103.7897283,365349.7872,140278.2349,,68.29002,-266.686,1.268802945,103.7896979,365346.4051,140272.5733,,68.29002,-261.614,1.268842333,103.7897212,365349.0058,140276.9268
TB6_11_35,68.29002,-263.81,1.268825279,103.7897111,365347.8798,140275.0419,,68.29002,-266.65,1.268803224,103.7896981,365346.4235,140272.6042,,68.29002,-273.246,1.268752,103.7896677,365343.0414,140266.9427,,68.29002,-268.174,1.268791389,103.789691,365345.6421,140271.2961
TB6_11_36,68.29002,-270.5,1.268773325,103.7896803,365344.4494,140269.2997,,68.29002,-273.34,1.26875127,103.7896673,365342.9932,140266.862,,68.29002,-279.936,1.268700046,103.7896369,365339.611,140261.2005,,68.29002,-274.864,1.268739435,103.7896602,365342.2117,140265.5539
TB6_11_37,68.29002,-276.4,1.268727506,103.7896532,365341.4242,140264.2355,,68.29002,-279.24,1.268705451,103.7896401,365339.9679,140261.7979,,68.29002,-285.836,1.268654227,103.7896097,365336.5858,140256.1363,,68.29002,-280.764,1.268693615,103.7896331,365339.1865,140260.4898
TB7_00_1,56.59002,-35.6,1.27065177,103.7906717,365454.8539,140476.9202,,56.59002,-38.44,1.270629714,103.7906586,365453.3977,140474.4825,,56.59002,-45.036,1.27057849,103.7906282,365450.0155,140468.821,,56.59002,-39.964,1.270617879,103.7906516,365452.6162,140473.1745
TB7_00_2,56.59002,-42.09,1.270601369,103.7906418,365451.5261,140471.3496,,56.59002,-44.93,1.270579313,103.7906287,365450.0699,140468.912,,56.59002,-51.526,1.270528089,103.7905983,365446.6877,140463.2505,,56.59002,-46.454,1.270567478,103.7906217,365449.2884,140467.6039
TB7_00_3,56.59002,-48.609,1.270550742,103.7906118,365448.1834,140465.7542,,56.59002,-51.449,1.270528687,103.7905987,365446.7272,140463.3166,,56.59002,-58.045,1.270477463,103.7905683,365443.345,140457.655,,56.59002,-52.973,1.270516852,103.7905917,365445.9458,140462.0085
TB7_00_4,56.59002,-55.139,1.270500031,103.7905817,365444.8351,140460.1493,,56.59002,-57.979,1.270477975,103.7905686,365443.3789,140457.7117,,56.59002,-64.575,1.270426751,103.7905382,365439.9967,140452.0501,,56.59002,-59.503,1.27046614,103.7905616,365442.5974,140456.4036
TB7_00_5,56.59002,-61.698,1.270449094,103.7905515,365441.4719,140454.5196,,56.59002,-64.538,1.270427039,103.7905384,365440.0157,140452.0819,,56.59002,-71.134,1.270375814,103.790508,365436.6335,140446.4204,,56.59002,-66.062,1.270415203,103.7905314,365439.2343,140450.7738
TB7_00_6,56.59002,-68.22,1.270398444,103.7905215,365438.1277,140448.9215,,56.59002,-71.06,1.270376389,103.7905084,365436.6715,140446.4839,,56.59002,-77.656,1.270325165,103.790478,365433.2893,140440.8224,,56.59002,-72.584,1.270364554,103.7905014,365435.89,140445.1758
TB7_00_7,56.59002,-74.779,1.270347507,103.7904913,365434.7645,140443.2918,,56.59002,-77.619,1.270325452,103.7904782,365433.3083,140440.8541,,56.59002,-84.215,1.270274228,103.7904478,365429.9262,140435.1926,,56.59002,-79.143,1.270313617,103.7904712,365432.5269,140439.546
TB7_00_8,56.59002,-81.309,1.270296796,103.7904612,365431.4162,140437.6869,,56.59002,-84.149,1.27027474,103.7904481,365429.96,140435.2492,,56.59002,-90.745,1.270223516,103.7904177,365426.5778,140429.5877,,56.59002,-85.673,1.270262905,103.7904411,365429.1786,140433.9411
TB7_00_9,56.59002,-87.868,1.270245859,103.790431,365428.053,140432.0571,,56.59002,-90.708,1.270223804,103.7904179,365426.5968,140429.6195,,56.59002,-97.304,1.270172579,103.7903875,365423.2147,140423.9579,,56.59002,-92.232,1.270211968,103.7904109,365425.8154,140428.3114
TB7_00_10,56.59002,-94.423,1.270194953,103.7904008,365424.6919,140426.4308,,56.59002,-97.263,1.270172898,103.7903877,365423.2357,140423.9931,,56.59002,-103.859,1.270121674,103.7903574,365419.8535,140418.3316,,56.59002,-98.787,1.270161062,103.7903807,365422.4542,140422.685
TB7_00_11,56.59002,-100.982,1.270144016,103.7903706,365421.3287,140420.801,,56.59002,-103.822,1.270121961,103.7903575,365419.8725,140418.3634,,56.59002,-110.418,1.270070737,103.7903272,365416.4903,140412.7018,,56.59002,-105.346,1.270110126,103.7903505,365419.0911,140417.0553
TB7_00_12,56.59002,-107.512,1.270093305,103.7903405,365417.9804,140415.1961,,56.59002,-110.352,1.270071249,103.7903275,365416.5242,140412.7585,,56.59002,-116.948,1.270020025,103.7902971,365413.142,140407.0969,,56.59002,-111.876,1.270059414,103.7903204,365415.7427,140411.4504
TB7_00_13,56.59002,-114.071,1.270042368,103.7903103,365414.6172,140409.5664,,56.59002,-116.911,1.270020312,103.7902973,365413.161,140407.1287,,56.59002,-123.507,1.269969088,103.7902669,365409.7789,140401.4672,,56.59002,-118.435,1.270008477,103.7902902,365412.3796,140405.8206
TB7_00_14,56.59002,-120.593,1.269991718,103.7902803,365411.273,140403.9683,,56.59002,-123.433,1.269969663,103.7902672,365409.8168,140401.5307,,56.59002,-130.029,1.269918439,103.7902369,365406.4346,140395.8692,,56.59002,-124.957,1.269957828,103.7902602,365409.0354,140400.2226
TB7_00_15,56.59002,-127.152,1.269940781,103.7902501,365407.9098,140398.3386,,56.59002,-129.992,1.269918726,103.790237,365406.4536,140395.9009,,56.59002,-136.588,1.269867502,103.7902067,365403.0715,140390.2394,,56.59002,-131.516,1.269906891,103.79023,365405.6722,140394.5928
TB7_00_16,56.59002,-133.682,1.26989007,103.79022,365404.5615,140392.7337,,56.59002,-136.522,1.269868014,103.790207,365403.1053,140390.296,,56.59002,-143.118,1.26981679,103.7901766,365399.7231,140384.6345,,56.59002,-138.046,1.269856179,103.7901999,365402.3239,140388.9879
TB7_00_17,56.59002,-140.241,1.269839133,103.7901898,365401.1984,140387.1039,,56.59002,-143.081,1.269817077,103.7901768,365399.7421,140384.6663,,56.59002,-149.677,1.269765853,103.7901464,365396.36,140379.0047,,56.59002,-144.605,1.269805242,103.7901697,365398.9607,140383.3582
TB7_00_18,56.59002,-146.798,1.269788211,103.7901596,365397.8362,140381.4759,,56.59002,-149.638,1.269766156,103.7901466,365396.38,140379.0382,,56.59002,-156.234,1.269714932,103.7901162,365392.9978,140373.3767,,56.59002,-151.162,1.269754321,103.7901395,365395.5985,140377.7301
TB7_00_19,56.59002,-153.357,1.269737274,103.7901294,365394.473,140375.8461,,56.59002,-156.197,1.269715219,103.7901164,365393.0168,140373.4084,,56.59002,-162.793,1.269663995,103.790086,365389.6346,140367.7469,,56.59002,-157.721,1.269703384,103.7901093,365392.2353,140372.1003
TB7_00_20,56.59002,-159.887,1.269686563,103.7900994,365391.1247,140370.2412,,56.59002,-162.727,1.269664508,103.7900863,365389.6685,140367.8035,,56.59002,-169.323,1.269613283,103.7900559,365386.2863,140362.142,,56.59002,-164.251,1.269652672,103.7900793,365388.887,140366.4955
TB7_00_21,56.59002,-166.446,1.269635626,103.7900692,365387.7615,140364.6114,,56.59002,-169.286,1.269613571,103.7900561,365386.3053,140362.1738,,56.59002,-175.882,1.269562346,103.7900257,365382.9231,140356.5122,,56.59002,-170.81,1.269601735,103.7900491,365385.5238,140360.8657
TB7_00_22,56.59002,-172.968,1.269584976,103.7900391,365384.4173,140359.0134,,56.59002,-175.808,1.269562921,103.7900261,365382.9611,140356.5758,,56.59002,-182.404,1.269511697,103.7899957,365379.5789,140350.9142,,56.59002,-177.332,1.269551086,103.790019,365382.1796,140355.2677
TB7_00_23,56.59002,-179.527,1.26953404,103.7900089,365381.0541,140353.3836,,56.59002,-182.367,1.269511984,103.7899959,365379.5979,140350.946,,56.59002,-188.963,1.26946076,103.7899655,365376.2157,140345.2845,,56.59002,-183.891,1.269500149,103.7899888,365378.8165,140349.6379
TB7_00_24,56.59002,-189.14,1.269459385,103.7899647,365376.125,140345.1325,,56.59002,-191.98,1.26943733,103.7899516,365374.6688,140342.6949,,56.59002,-198.576,1.269386106,103.7899212,365371.2866,140337.0333,,56.59002,-193.504,1.269425495,103.7899446,365373.8873,140341.3868
TB7_00_25,56.59002,-196.17,1.269404791,103.7899323,365372.5203,140339.0985,,56.59002,-199.01,1.269382735,103.7899192,365371.0641,140336.6608,,56.59002,-205.606,1.269331511,103.7898889,365367.6819,140330.9993,,56.59002,-200.534,1.2693709,103.7899122,365370.2826,140335.3527
TB7_00_26,56.59002,-202.23,1.269357729,103.7899044,365369.413,140333.897,,56.59002,-205.07,1.269335674,103.7898913,365367.9567,140331.4594,,56.59002,-211.666,1.26928445,103.789861,365364.5746,140325.7978,,56.59002,-206.594,1.269323838,103.7898843,365367.1753,140330.1513
TB7_00_27,56.59002,-211.83,1.269283176,103.7898602,365364.4905,140325.6571,,56.59002,-214.67,1.269261121,103.7898471,365363.0343,140323.2194,,56.59002,-221.266,1.269209896,103.7898167,365359.6521,140317.5579,,56.59002,-216.194,1.269249285,103.7898401,365362.2528,140321.9113
TB7_00_28,56.59002,-217.89,1.269236114,103.7898323,365361.3832,140320.4556,,56.59002,-220.73,1.269214059,103.7898192,365359.927,140318.0179,,56.59002,-227.326,1.269162835,103.7897888,365356.5448,140312.3564,,56.59002,-222.254,1.269202224,103.7898122,365359.1455,140316.7098
TB7_00_29,56.59002,-225.43,1.269177559,103.7897976,365357.517,140313.9838,,56.59002,-228.27,1.269155504,103.7897845,365356.0608,140311.5461,,56.59002,-234.866,1.269104279,103.7897541,365352.6786,140305.8846,,56.59002,-229.794,1.269143668,103.7897775,365355.2793,140310.2381
TB7_00_30,56.59002,-231.49,1.269130497,103.7897697,365354.4097,140308.7823,,56.59002,-234.33,1.269108442,103.7897566,365352.9534,140306.3447,,56.59002,-240.926,1.269057218,103.7897262,365349.5713,140300.6831,,56.59002,-235.854,1.269096607,103.7897496,365352.172,140305.0366
TB7_00_31,56.59002,-241.09,1.269055944,103.7897255,365349.4872,140300.5424,,56.59002,-243.93,1.269033889,103.7897124,365348.031,140298.1047,,56.59002,-250.526,1.268982665,103.789682,365344.6488,140292.4432,,56.59002,-245.454,1.269022054,103.7897054,365347.2495,140296.7966
TB7_00_32,56.59002,-247.15,1.269008883,103.7896976,365346.3799,140295.3409,,56.59002,-249.99,1.268986827,103.7896845,365344.9237,140292.9033,,56.59002,-256.586,1.268935603,103.7896541,365341.5415,140287.2417,,56.59002,-251.514,1.268974992,103.7896775,365344.1422,140291.5952
TB7_00_33,56.59002,-254.16,1.268954443,103.7896653,365342.7854,140289.324,,56.59002,-257,1.268932388,103.7896522,365341.3292,140286.8864,,56.59002,-263.596,1.268881164,103.7896218,365337.9471,140281.2248,,56.59002,-258.524,1.268920553,103.7896452,365340.5478,140285.5783
TB7_00_34,56.59002,-260.69,1.268903732,103.7896352,365339.4371,140283.7191,,56.59002,-263.53,1.268881676,103.7896221,365337.9809,140281.2815,,56.59002,-270.126,1.268830452,103.7895918,365334.5988,140275.62,,56.59002,-265.054,1.268869841,103.7896151,365337.1995,140279.9734
TB7_00_35,56.59002,-267.95,1.268847351,103.7896018,365335.7145,140277.4877,,56.59002,-270.79,1.268825295,103.7895887,365334.2583,140275.05,,56.59002,-277.386,1.268774071,103.7895583,365330.8761,140269.3885,,56.59002,-272.314,1.26881346,103.7895817,365333.4768,140273.7419
TB7_00_36,56.59002,-273.3,1.268805803,103.7895772,365332.9713,140272.8956,,56.59002,-276.14,1.268783748,103.7895641,365331.515,140270.458,,56.59002,-282.736,1.268732523,103.7895337,365328.1329,140264.7964,,56.59002,-277.664,1.268771912,103.7895571,365330.7336,140269.1499
TB7_11_1,15.81,-35.67,1.270840217,103.7903567,365419.8154,140497.7704,,15.81,-38.51,1.270818161,103.7903436,365418.3592,140495.3328,,15.81,-45.106,1.270766937,103.7903132,365414.977,140489.6712,,15.81,-40.034,1.270806326,103.7903366,365417.5777,140494.0247
TB7_11_2,15.81,-42.16,1.270789815,103.7903268,365416.4876,140492.1999,,15.81,-45,1.27076776,103.7903137,365415.0314,140489.7622,,15.81,-51.596,1.270716536,103.7902833,365411.6492,140484.1007,,15.81,-46.524,1.270755925,103.7903067,365414.2499,140488.4541
TB7_11_3,15.81,-48.679,1.270739189,103.7902968,365413.1449,140486.6044,,15.81,-51.519,1.270717134,103.7902837,365411.6887,140484.1668,,15.81,-58.115,1.27066591,103.7902533,365408.3065,140478.5052,,15.81,-53.043,1.270705299,103.7902767,365410.9072,140482.8587
TB7_11_4,15.81,-55.209,1.270688478,103.7902667,365409.7966,140480.9995,,15.81,-58.049,1.270666422,103.7902536,365408.3404,140478.5619,,15.81,-64.645,1.270615198,103.7902233,365404.9582,140472.9004,,15.81,-59.573,1.270654587,103.7902466,365407.5589,140477.2538
TB7_11_5,15.81,-61.768,1.270637541,103.7902365,365406.4334,140475.3698,,15.81,-64.608,1.270615485,103.7902234,365404.9772,140472.9321,,15.81,-71.204,1.270564261,103.7901931,365401.595,140467.2706,,15.81,-66.132,1.27060365,103.7902164,365404.1957,140471.624
TB7_11_6,15.81,-68.29,1.270586891,103.7902065,365403.0892,140469.7718,,15.81,-71.13,1.270564836,103.7901934,365401.633,140467.3341,,15.81,-77.726,1.270513612,103.790163,365398.2508,140461.6726,,15.81,-72.654,1.270553001,103.7901864,365400.8515,140466.026
TB7_11_7,15.81,-74.849,1.270535954,103.7901763,365399.726,140464.142,,15.81,-77.689,1.270513899,103.7901632,365398.2698,140461.7043,,15.81,-84.285,1.270462675,103.7901328,365394.8876,140456.0428,,15.81,-79.213,1.270502064,103.7901562,365397.4883,140460.3962
TB7_11_8,15.81,-81.379,1.270485243,103.7901462,365396.3777,140458.5371,,15.81,-84.219,1.270463187,103.7901331,365394.9215,140456.0995,,15.81,-90.815,1.270411963,103.7901028,365391.5393,140450.4379,,15.81,-85.743,1.270451352,103.7901261,365394.14,140454.7914
TB7_11_9,15.81,-87.938,1.270434306,103.790116,365393.0145,140452.9073,,15.81,-90.778,1.27041225,103.7901029,365391.5583,140450.4697,,15.81,-97.374,1.270361026,103.7900726,365388.1761,140444.8082,,15.81,-92.302,1.270400415,103.7900959,365390.7768,140449.1616
TB7_11_10,15.81,-94.493,1.2703834,103.7900858,365389.6534,140447.281,,15.81,-97.333,1.270361345,103.7900727,365388.1972,140444.8433,,15.81,-103.929,1.27031012,103.7900424,365384.815,140439.1818,,15.81,-98.857,1.270349509,103.7900657,365387.4157,140443.5353
TB7_11_11,15.81,-101.052,1.270332463,103.7900556,365386.2902,140441.6512,,15.81,-103.892,1.270310408,103.7900425,365384.834,140439.2136,,15.81,-110.488,1.270259184,103.7900122,365381.4518,140433.552,,15.81,-105.416,1.270298572,103.7900355,365384.0525,140437.9055
TB7_11_12,15.81,-107.582,1.270281751,103.7900256,365382.9419,140436.0463,,15.81,-110.422,1.270259696,103.7900125,365381.4857,140433.6087,,15.81,-117.018,1.270208472,103.7899821,365378.1035,140427.9472,,15.81,-111.946,1.270247861,103.7900055,365380.7042,140432.3006
TB7_11_13,15.81,-114.141,1.270230814,103.7899954,365379.5787,140430.4166,,15.81,-116.981,1.270208759,103.7899823,365378.1225,140427.9789,,15.81,-123.577,1.270157535,103.7899519,365374.7403,140422.3174,,15.81,-118.505,1.270196924,103.7899753,365377.341,140426.6708
TB7_11_14,15.81,-120.663,1.270180165,103.7899653,365376.2345,140424.8186,,15.81,-123.503,1.27015811,103.7899522,365374.7783,140422.3809,,15.81,-130.099,1.270106885,103.7899219,365371.3961,140416.7194,,15.81,-125.027,1.270146274,103.7899452,365373.9968,140421.0728
TB7_11_15,15.81,-127.222,1.270129228,103.7899351,365372.8713,140419.1888,,15.81,-130.062,1.270107173,103.789922,365371.4151,140416.7511,,15.81,-136.658,1.270055949,103.7898917,365368.0329,140411.0896,,15.81,-131.586,1.270095337,103.789915,365370.6336,140415.443
TB7_11_16,15.81,-133.752,1.270078516,103.7899051,365369.523,140413.5839,,15.81,-136.592,1.270056461,103.789892,365368.0668,140411.1462,,15.81,-143.188,1.270005237,103.7898616,365364.6846,140405.4847,,15.81,-138.116,1.270044626,103.789885,365367.2853,140409.8382
TB7_11_17,15.81,-140.311,1.27002758,103.7898749,365366.1598,140407.9541,,15.81,-143.151,1.270005524,103.7898618,365364.7036,140405.5165,,15.81,-149.747,1.2699543,103.7898314,365361.3214,140399.8549,,15.81,-144.675,1.269993689,103.7898548,365363.9221,140404.2084
TB7_11_18,15.81,-146.868,1.269976658,103.7898447,365362.7977,140402.3261,,15.81,-149.708,1.269954603,103.7898316,365361.3414,140399.8884,,15.81,-156.304,1.269903379,103.7898012,365357.9593,140394.2269,,15.81,-151.232,1.269942768,103.7898246,365360.56,140398.5803
TB7_11_19,15.81,-153.427,1.269925721,103.7898145,365359.4345,140396.6963,,15.81,-156.267,1.269903666,103.7898014,365357.9783,140394.2586,,15.81,-162.863,1.269852442,103.789771,365354.5961,140388.5971,,15.81,-157.791,1.269891831,103.7897944,365357.1968,140392.9505
TB7_11_20,15.81,-159.957,1.26987501,103.7897844,365356.0862,140391.0914,,15.81,-162.797,1.269852954,103.7897713,365354.6299,140388.6538,,15.81,-169.393,1.26980173,103.7897409,365351.2478,140382.9922,,15.81,-164.321,1.269841119,103.7897643,365353.8485,140387.3457
TB7_11_21,15.81,-166.516,1.269824073,103.7897542,365352.723,140385.4616,,15.81,-169.356,1.269802017,103.7897411,365351.2668,140383.024,,15.81,-175.952,1.269750793,103.7897107,365347.8846,140377.3625,,15.81,-170.88,1.269790182,103.7897341,365350.4853,140381.7159
TB7_11_22,15.81,-173.038,1.269773423,103.7897242,365349.3788,140379.8636,,15.81,-175.878,1.269751368,103.7897111,365347.9225,140377.426,,15.81,-182.474,1.269700144,103.7896807,365344.5404,140371.7644,,15.81,-177.402,1.269739533,103.7897041,365347.1411,140376.1179
TB7_11_23,15.81,-179.597,1.269722486,103.789694,365346.0156,140374.2338,,15.81,-182.437,1.269700431,103.7896809,365344.5594,140371.7962,,15.81,-189.033,1.269649207,103.7896505,365341.1772,140366.1347,,15.81,-183.961,1.269688596,103.7896739,365343.7779,140370.4881
TB7_11_24,15.81,-189.21,1.269647832,103.7896497,365341.0865,140365.9827,,15.81,-192.05,1.269625777,103.7896366,365339.6302,140363.5451,,15.81,-198.646,1.269574553,103.7896062,365336.2481,140357.8836,,15.81,-193.574,1.269613942,103.7896296,365338.8488,140362.237
TB7_11_25,15.81,-196.24,1.269593238,103.7896173,365337.4818,140359.9487,,15.81,-199.08,1.269571182,103.7896043,365336.0255,140357.511,,15.81,-205.676,1.269519958,103.7895739,365332.6434,140351.8495,,15.81,-200.604,1.269559347,103.7895972,365335.2441,140356.2029
TB7_11_26,15.81,-202.3,1.269546176,103.7895894,365334.3744,140354.7472,,15.81,-205.14,1.269524121,103.7895763,365332.9182,140352.3096,,15.81,-211.736,1.269472896,103.789546,365329.5361,140346.648,,15.81,-206.664,1.269512285,103.7895693,365332.1368,140351.0015
TB7_11_27,15.81,-211.9,1.269471623,103.7895452,365329.452,140346.5073,,15.81,-214.74,1.269449567,103.7895321,365327.9957,140344.0696,,15.81,-221.336,1.269398343,103.7895018,365324.6136,140338.4081,,15.81,-216.264,1.269437732,103.7895251,365327.2143,140342.7615
TB7_11_28,15.81,-217.96,1.269424561,103.7895173,365326.3447,140341.3058,,15.81,-220.8,1.269402506,103.7895042,365324.8884,140338.8681,,15.81,-227.396,1.269351281,103.7894739,365321.5063,140333.2066,,15.81,-222.324,1.26939067,103.7894972,365324.107,140337.5601
TB7_11_29,15.81,-225.5,1.269366006,103.7894826,365322.4785,140334.834,,15.81,-228.34,1.26934395,103.7894695,365321.0222,140332.3964,,15.81,-234.936,1.269292726,103.7894392,365317.6401,140326.7348,,15.81,-229.864,1.269332115,103.7894625,365320.2408,140331.0883
TB7_11_30,15.81,-231.56,1.269318944,103.7894547,365319.3711,140329.6325,,15.81,-234.4,1.269296889,103.7894416,365317.9149,140327.1949,,15.81,-240.996,1.269245665,103.7894112,365314.5328,140321.5334,,15.81,-235.924,1.269285053,103.7894346,365317.1335,140325.8868
TB7_11_31,15.81,-241.16,1.269244391,103.7894105,365314.4487,140321.3926,,15.81,-244,1.269222336,103.7893974,365312.9924,140318.9549,,15.81,-250.596,1.269171111,103.789367,365309.6103,140313.2934,,15.81,-245.524,1.2692105,103.7893904,365312.211,140317.6468
TB7_11_32,15.81,-247.22,1.269197329,103.7893826,365311.3413,140316.1911,,15.81,-250.06,1.269175274,103.7893695,365309.8851,140313.7535,,15.81,-256.656,1.26912405,103.7893391,365306.503,140308.0919,,15.81,-251.584,1.269163439,103.7893625,365309.1037,140312.4454
TB7_11_33,15.81,-254.23,1.26914289,103.7893503,365307.7469,140310.1742,,15.81,-257.07,1.269120835,103.7893372,365306.2907,140307.7366,,15.81,-263.666,1.26906961,103.7893069,365302.9085,140302.075,,15.81,-258.594,1.269108999,103.7893302,365305.5092,140306.4285
TB7_11_34,15.81,-260.76,1.269092178,103.7893202,365304.3986,140304.5693,,15.81,-263.6,1.269070123,103.7893072,365302.9424,140302.1317,,15.81,-270.196,1.269018899,103.7892768,365299.5602,140296.4702,,15.81,-265.124,1.269058288,103.7893002,365302.1609,140300.8236
TB7_11_35,15.81,-268.02,1.269035797,103.7892868,365300.676,140298.3379,,15.81,-270.86,1.269013742,103.7892737,365299.2197,140295.9002,,15.81,-277.456,1.268962518,103.7892434,365295.8376,140290.2387,,15.81,-272.384,1.269001907,103.7892667,365298.4383,140294.5921
TB7_11_36,15.81,-273.24,1.268995259,103.7892628,365297.9994,140293.8574,,15.81,-276.08,1.268973204,103.7892497,365296.5431,140291.4198,,15.81,-282.676,1.26892198,103.7892193,365293.161,140285.7582,,15.81,-277.604,1.268961369,103.7892427,365295.7617,140290.1117
TC1_00_1,368.61,-327.11,1.266941895,103.7917369,365573.1953,140066.7184,,368.61,-329.95,1.26691984,103.7917238,365571.7391,140064.2807,,368.61,-336.546,1.266868615,103.7916934,365568.3569,140058.6192,,368.61,-331.474,1.266908004,103.7917168,365570.9576,140062.9726
TC1_00_2,368.61,-332.98,1.266896309,103.7917099,365570.1854,140061.68,,368.61,-335.82,1.266874253,103.7916968,365568.7292,140059.2423,,368.61,-342.416,1.266823029,103.7916664,365565.3471,140053.5808,,368.61,-337.344,1.266862418,103.7916898,365567.9478,140057.9342
TC1_00_3,368.61,-339.641,1.26684458,103.7916792,365566.77,140055.9627,,368.61,-342.481,1.266822524,103.7916661,365565.3137,140053.525,,368.61,-349.077,1.2667713,103.7916358,365561.9316,140047.8635,,368.61,-344.005,1.266810689,103.7916591,365564.5323,140052.2169
TC1_00_4,368.61,-346.2,1.266793643,103.791649,365563.4068,140050.3329,,368.61,-349.04,1.266771588,103.7916359,365561.9506,140047.8952,,368.61,-355.636,1.266720363,103.7916055,365558.5684,140042.2337,,368.61,-350.564,1.266759752,103.7916289,365561.1691,140046.5871
TC1_00_5,368.61,-352.73,1.266742931,103.7916189,365560.0585,140044.728,,368.61,-355.57,1.266720876,103.7916059,365558.6023,140042.2903,,368.61,-362.166,1.266669652,103.7915755,365555.2201,140036.6288,,368.61,-357.094,1.266709041,103.7915988,365557.8208,140040.9823
