Filename,PSA_AIFO_Coordinates,,,,,,,,,,,
Format,2.1,,,,,,,,,,,
Modified on,25/09/24,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Reserved,,,,,,,,,,,,
Slot Label, Raw x, Raw y, Slot Type, , 20F Front x, 20F Front y, , 20F Rear x, 20F Rear y, , 45F Front x, 45F Front y
TB1_11_8,365667.9464,140303.9908,9, ,365666.4901,140301.5532, ,365663.108,140295.8916, ,365665.7087,140300.2451
TB1_11_9,365664.5981,140298.3859,9, ,365663.1418,140295.9483, ,365659.7597,140290.2868, ,365662.3604,140294.6402
TB1_11_10,365661.2349,140292.7562,9, ,365659.7787,140290.3185, ,365656.3965,140284.657, ,365658.9972,140289.0104
TB1_11_11,365657.8738,140287.1298,9, ,365656.4175,140284.6922, ,365653.0354,140279.0306, ,365655.6361,140283.3841
TB1_11_12,365654.5106,140281.5001,9, ,365653.0544,140279.0624, ,365649.6722,140273.4009, ,365652.2729,140277.7543
TB1_11_13,365651.1623,140275.8952,9, ,365649.7061,140273.4575, ,365646.3239,140267.796, ,365648.9246,140272.1494
TB1_11_14,365647.7991,140270.2654,9, ,365646.3429,140267.8278, ,365642.9607,140262.1662, ,365645.5614,140266.5197
TB1_11_15,365644.4549,140264.6674,9, ,365642.9987,140262.2297, ,365639.6165,140256.5682, ,365642.2172,140260.9217
TB1_11_16,365641.0917,140259.0376,9, ,365639.6355,140256.6, ,365636.2533,140250.9384, ,365638.8541,140255.2919
TB1_11_17,365637.7434,140253.4327,9, ,365636.2872,140250.9951, ,365632.905,140245.3336, ,365635.5057,140249.687
TB1_11_18,365634.3802,140247.803,9, ,365632.924,140245.3653, ,365629.5419,140239.7038, ,365632.1426,140244.0572
TB1_11_19,365631.0181,140242.1749,9, ,365629.5619,140239.7373, ,365626.1797,140234.0757, ,365628.7804,140238.4292
TB1_11_20,365627.6549,140236.5452,9, ,365626.1987,140234.1075, ,365622.8165,140228.446, ,365625.4172,140232.7994
TB1_11_21,365624.3066,140230.9403,9, ,365622.8504,140228.5026, ,365619.4682,140222.8411, ,365622.0689,140227.1945
TB1_11_22,365620.9434,140225.3105,9, ,365619.4872,140222.8729, ,365616.1051,140217.2113, ,365618.7058,140221.5648
TB1_11_23,365617.5992,140219.7125,9, ,365616.143,140217.2748, ,365612.7608,140211.6133, ,365615.3616,140215.9667
TB1_11_24,365614.2361,140214.0827,9, ,365612.7798,140211.6451, ,365609.3977,140205.9835, ,365611.9984,140210.337
TB1_11_25,365610.8877,140208.4778,9, ,365609.4315,140206.0402, ,365606.0494,140200.3787, ,365608.6501,140204.7321
TB1_11_26,365607.5246,140202.8481,9, ,365606.0683,140200.4104, ,365602.6862,140194.7489, ,365605.2869,140199.1023
TB1_11_27,365604.1634,140197.2217,9, ,365602.7072,140194.7841, ,365599.3251,140189.1225, ,365601.9258,140193.476
TB1_11_28,365600.8003,140191.592,9, ,365599.344,140189.1543, ,365595.9619,140183.4928, ,365598.5626,140187.8462
TB1_11_29,365597.452,140185.9871,9, ,365595.9957,140183.5494, ,365592.6136,140177.8879, ,365595.2143,140182.2413
TB1_11_30,365594.0888,140180.3573,9, ,365592.6326,140177.9197, ,365589.2504,140172.2581, ,365591.8511,140176.6116
TB1_11_31,365590.7446,140174.7593,9, ,365589.2884,140172.3216, ,365585.9062,140166.6601, ,365588.5069,140171.0135
TB1_11_32,365587.3814,140169.1295,9, ,365585.9252,140166.6919, ,365582.543,140161.0303, ,365585.1437,140165.3838
TB1_11_33,365584.0331,140163.5246,9, ,365582.5769,140161.087, ,365579.1947,140155.4255, ,365581.7954,140159.7789
TB1_11_34,365580.6699,140157.8949,9, ,365579.2137,140155.4572, ,365575.8315,140149.7957, ,365578.4323,140154.1491
TB1_11_35,365577.3073,140152.266,9, ,365575.851,140149.8283, ,365572.4689,140144.1668, ,365575.0696,140148.5202
TB1_11_36,365573.959,140146.6611,9, ,365572.5027,140144.2234, ,365569.1206,140138.5619, ,365571.7213,140142.9153
TB1_11_37,365570.5958,140141.0313,9, ,365569.1395,140138.5936, ,365565.7574,140132.9321, ,365568.3581,140137.2856
TB1_11_38,365567.1019,140135.1827,9, ,365565.6456,140132.745, ,365562.2635,140127.0835, ,365564.8642,140131.4369
TB1_11_39,365564.1022,140130.1614,9, ,365562.646,140127.7238, ,365559.2638,140122.0623, ,365561.8645,140126.4157
TB2_00_1,365681.3571,140349.2491,1, ,365679.9008,140346.8114, ,365676.5187,140341.1499, ,365679.1194,140345.5033
TB2_00_2,365678.0231,140343.6682,1, ,365676.5669,140341.2306, ,365673.1847,140335.569, ,365675.7854,140339.9225
TB2_00_3,365674.6861,140338.0822,1, ,365673.2298,140335.6446, ,365669.8477,140329.983, ,365672.4484,140334.3365
TB2_00_4,365671.3229,140332.4525,1, ,365669.8667,140330.0148, ,365666.4845,140324.3533, ,365669.0852,140328.7067
TB2_00_5,365667.9746,140326.8476,1, ,365666.5184,140324.4099, ,365663.1362,140318.7484, ,365665.7369,140323.1018
TB2_00_6,365664.6114,140321.2178,9, ,365663.1552,140318.7802, ,365659.773,140313.1186, ,365662.3737,140317.4721
TB2_00_7,365661.2672,140315.6198,9, ,365659.811,140313.1821, ,365656.4288,140307.5206, ,365659.0295,140311.8741
TB2_00_8,365657.904,140309.99,9, ,365656.4478,140307.5524, ,365653.0657,140301.8908, ,365655.6664,140306.2443
TB2_00_9,365654.5557,140304.3851,9, ,365653.0995,140301.9475, ,365649.7173,140296.286, ,365652.3181,140300.6394
TB2_00_10,365651.1925,140298.7554,9, ,365649.7363,140296.3177, ,365646.3542,140290.6562, ,365648.9549,140295.0096
TB2_00_11,365647.8314,140293.129,9, ,365646.3752,140290.6914, ,365642.993,140285.0299, ,365645.5937,140289.3833
TB2_00_12,365644.4682,140287.4993,9, ,365643.012,140285.0616, ,365639.6299,140279.4001, ,365642.2306,140283.7535
TB2_00_13,365641.1199,140281.8944,9, ,365639.6637,140279.4567, ,365636.2816,140273.7952, ,365638.8823,140278.1487
TB2_00_14,365637.7568,140276.2646,9, ,365636.3005,140273.827, ,365632.9184,140268.1654, ,365635.5191,140272.5189
TB2_00_15,365634.4126,140270.6666,9, ,365632.9563,140268.229, ,365629.5742,140262.5674, ,365632.1749,140266.9209
TB2_00_16,365631.0494,140265.0368,9, ,365629.5931,140262.5992, ,365626.211,140256.9377, ,365628.8117,140261.2911
TB2_00_17,365627.7011,140259.432,9, ,365626.2448,140256.9943, ,365622.8627,140251.3328, ,365625.4634,140255.6862
TB2_00_18,365624.3379,140253.8022,9, ,365622.8817,140251.3645, ,365619.4995,140245.703, ,365622.1002,140250.0564
TB2_00_19,365620.9757,140248.1741,9, ,365619.5195,140245.7365, ,365616.1374,140240.075, ,365618.7381,140244.4284
TB2_00_20,365617.6126,140242.5444,9, ,365616.1563,140240.1067, ,365612.7742,140234.4452, ,365615.3749,140238.7986
TB2_00_21,365614.2643,140236.9395,9, ,365612.808,140234.5018, ,365609.4259,140228.8403, ,365612.0266,140233.1937
TB2_00_22,365610.9011,140231.3097,9, ,365609.4449,140228.8721, ,365606.0627,140223.2105, ,365608.6634,140227.564
TB2_00_23,365607.5569,140225.7117,9, ,365606.1006,140223.2741, ,365602.7185,140217.6125, ,365605.3192,140221.966
TB2_00_24,365604.1937,140220.0819,9, ,365602.7375,140217.6443, ,365599.3553,140211.9827, ,365601.956,140216.3362
TB2_00_25,365600.8454,140214.4771,9, ,365599.3892,140212.0394, ,365596.007,140206.3779, ,365598.6077,140210.7313
TB2_00_26,365597.4822,140208.8473,9, ,365596.026,140206.4096, ,365592.6438,140200.7481, ,365595.2445,140205.1015
TB2_00_27,365594.1211,140203.2209,9, ,365592.6649,140200.7833, ,365589.2827,140195.1218, ,365591.8834,140199.4752
TB2_00_28,365590.7579,140197.5912,9, ,365589.3017,140195.1535, ,365585.9195,140189.492, ,365588.5202,140193.8454
TB2_00_29,365587.4096,140191.9863,9, ,365585.9534,140189.5486, ,365582.5712,140183.8871, ,365585.1719,140188.2405
TB2_00_30,365584.0464,140186.3565,9, ,365582.5902,140183.9189, ,365579.2081,140178.2573, ,365581.8088,140182.6108
TB2_00_31,365580.7022,140180.7585,9, ,365579.246,140178.3209, ,365575.8639,140172.6593, ,365578.4646,140177.0128
TB2_00_32,365577.3391,140175.1287,9, ,365575.8828,140172.6911, ,365572.5007,140167.0295, ,365575.1014,140171.383
TB2_00_33,365573.9907,140169.5238,9, ,365572.5345,140167.0862, ,365569.1524,140161.4247, ,365571.7531,140165.7781
TB2_00_34,365570.6276,140163.8941,9, ,365569.1713,140161.4564, ,365565.7892,140155.7949, ,365568.3899,140160.1483
TB2_00_35,365567.2649,140158.2652,9, ,365565.8087,140155.8275, ,365562.4265,140150.166, ,365565.0272,140154.5194
TB2_00_36,365563.9166,140152.6603,9, ,365562.4604,140150.2226, ,365559.0782,140144.5611, ,365561.6789,140148.9145
TB2_00_37,365560.5534,140147.0305,9, ,365559.0972,140144.5929, ,365555.7151,140138.9313, ,365558.3158,140143.2848
TB2_00_38,365557.0595,140141.1819,9, ,365555.6033,140138.7442, ,365552.2211,140133.0827, ,365554.8218,140137.4361
TB2_00_39,365554.0599,140136.1606,9, ,365552.6036,140133.723, ,365549.2215,140128.0615, ,365551.8222,140132.4149
TB2_11_1,365646.732,140369.9338,1, ,365645.2758,140367.4961, ,365641.8937,140361.8346, ,365644.4944,140366.188
TB2_11_2,365643.3981,140364.3529,1, ,365641.9419,140361.9153, ,365638.5597,140356.2537, ,365641.1604,140360.6072
