15.03,14.86,6,14.88,15.1,15.09,14.85,15.19,14.65,12.65,14.29,14.59,14.84,15.17,15.03,14.28
2.1,2.036,1,2.041,2.12,2.076,2.032,2.134,2.045,1.738,1.858,1.9,2.101,2.113,2.006,1.842
1,1.413,3,1,1.275,1.453,1.381,1,1,1.523,1.615,1,1,1,1,1.446
20.18,12.65,12.99,10.97,15.49,9.959,13.71,16.07,34.95,19.43,13.67,18.13,38.91,10.46,30.54,9.826
0.1052,0.1156,0.1417,0.08667,0.1426,0.1423,0.1005,0.08681,0.1316,0.181,0.1467,0.1055,0.1425,0.09143,0.1234,0.1303
-0.1489,-0.7517,-1.408,-0.1798,-0.7982,-1.458,0.05757,-0.01907,-1.094,-2.77,-1.233,-0.4154,-0.6358,-0.4375,-0.9267,-1.056
18.37,13.85,20.95,8.276,18.64,19.55,11.66,10.19,27.12,38.38,17.49,17.6,34.58,10.46,22.21,15.8
