15.59,15.11,15.9,15.4,16.61,16.89,14.22,15.87,16.46,15.35,16.61,15.85,16.71,16.24,16.94,15.96
2.461,2.025,2.256,2.104,2.55,2.607,2.929,2.277,2.475,2.119,2.529,2.335,2.614,2.432,2.649,2.345
1,2.033,1.771,1.91,1.541,1.597,1.389,1.431,1.635,1.622,1.624,1.194,1.43,1.425,1.624,1.042
19.32,10.37,13.73,10.07,14.03,10.05,13.58,7.932,12.14,8.567,13.09,10.3,13.4,10.35,12.84,6.207
0.09886,0.08519,0.1117,0.08559,0.1014,0.08317,0.1112,0.1075,0.1436,0.1191,0.1777,0.1281,0.1433,0.09528,0.109,0.106
0.4788,0.3874,-0.08128,0.2709,0.04954,0.337,-0.4479,-0.07146,-0.8543,-0.3697,-1.094,-0.3291,-0.7025,-0.0005206,-0.08718,-0.2725
10.3,4.244,10.67,5.323,9.672,3.707,13.13,5.244,12.14,6.86,15.2,7.68,13.69,6.649,9.106,5.306
