pedestrian_box_id,x,y,pedestrian_box_corner_points,scalar_factor
PC-PB,365738.69,140453.51,"365745.42, 140467.63, 365748.09, 140466.20, 365732.39, 140439.78, 365729.39, 140441.22",1
PC-RFS,365721.81,140425.34,"365717.85, 140415.44, 365714.98, 140417.16, 365725.75, 140435.19, 365728.62, 140433.47",1
PC-PE,364930,139707,"364924.03436637734, 139717.6875182669, 364941.0949850113, 139707.50608536537, 364934.3588672614, 139696.21864310486, 364917.2982486274, 139706.4000760064",1
PD-TR,364713.8,141298.65,"364717.06, 141307.24, 364719.81, 141305.60, 364710.53, 141290.06, 364707.78, 141291.70",1
PD_TQ,365038.16,141104.88,"365040.65, 141113.93, 365044.94, 141111.36, 365035.66, 141095.83, 365031.37, 141098.39",1
PD_Box_TK_Bypass,364953.2,139776.69,"364956.11, 139779.19, 364956.92, 139775.81, 364950.29, 139774.20, 364949.43, 139777.63",1
PD_Box_TL_Bypass,364967.73,139800.39,"364968.73, 139804.21, 364970.29, 139797.46, 364966.72, 139796.58, 364965.28, 139803.33",1
PD_Box_TK_TL_Zebra,364963.3,139786.8,"364965.66, 139794.70, 364969.13, 139792.62, 364960.94, 139778.91, 364957.47, 139780.99",1
